 	30 YR FRM	15 YR FRM	5/1 YR ARM	FHA 30 YR	JUMBO 30 YR
Date	Rate	Change	Rate	Change	Rate	Change	Rate	Change	Rate	Change
10/15/2013	4.42%	 0.04%	3.51%	 0.04%	3.09%	 -0.01%	4.10%	 0.05%	4.39%	 0.04%
10/11/2013	4.38%	 0.00%	3.47%	 0.00%	3.10%	 -0.01%	4.05%	 0.00%	4.35%	 -0.02%
10/10/2013	4.38%	 0.05%	3.47%	 0.05%	3.11%	 -0.01%	4.05%	 0.04%	4.37%	 0.03%
10/9/2013	4.33%	 0.00%	3.42%	 -0.01%	3.12%	 -0.02%	4.01%	 -0.01%	4.34%	 0.01%
10/8/2013	4.33%	 0.04%	3.43%	 0.01%	3.14%	 0.03%	4.02%	 0.02%	4.33%	 0.01%
10/7/2013	4.29%	 -0.01%	3.42%	 0.00%	3.11%	 -0.01%	4.00%	 0.00%	4.32%	 -0.01%
10/4/2013	4.30%	 0.02%	3.42%	 0.02%	3.12%	 0.01%	4.00%	 0.00%	4.33%	 0.01%
10/3/2013	4.28%	 -0.01%	3.40%	 0.00%	3.11%	 -0.02%	4.00%	 0.00%	4.32%	 -0.01%
10/2/2013	4.29%	 -0.01%	3.40%	 -0.01%	3.13%	 0.00%	4.00%	 -0.02%	4.33%	 -0.01%
10/1/2013	4.30%	 0.01%	3.41%	 0.00%	3.13%	 0.03%	4.02%	 0.02%	4.34%	 0.01%
9/30/2013	4.29%	 0.01%	3.41%	 0.01%	3.10%	 0.02%	4.00%	 0.00%	4.33%	 0.00%
9/27/2013	4.28%	 -0.06%	3.40%	 -0.04%	3.08%	 -0.02%	4.00%	 -0.06%	4.33%	 -0.03%
9/26/2013	4.34%	 0.00%	3.44%	 -0.01%	3.10%	 -0.01%	4.06%	 0.01%	4.36%	 -0.01%
9/25/2013	4.34%	 -0.05%	3.45%	 -0.05%	3.11%	 0.01%	4.05%	 -0.05%	4.37%	 -0.01%
9/24/2013	4.39%	 -0.03%	3.50%	 -0.03%	3.10%	 -0.02%	4.10%	 -0.04%	4.38%	 -0.02%
9/23/2013	4.42%	 -0.03%	3.53%	 -0.03%	3.12%	 -0.04%	4.14%	 -0.04%	4.40%	 -0.03%
9/20/2013	4.45%	 0.00%	3.56%	 0.01%	3.16%	 0.01%	4.18%	 -0.02%	4.43%	 -0.01%
9/19/2013	4.45%	 -0.04%	3.55%	 -0.04%	3.15%	 -0.01%	4.20%	 -0.05%	4.44%	 -0.06%
9/18/2013	4.49%	 -0.10%	3.59%	 -0.11%	3.16%	 0.04%	4.25%	 0.00%	4.50%	 -0.10%
9/17/2013	4.59%	 0.00%	3.70%	 0.01%	3.12%	 0.01%	4.25%	 0.00%	4.60%	 -0.01%
9/16/2013	4.59%	 -0.05%	3.69%	 -0.05%	3.11%	 -0.02%	4.25%	 -0.06%	4.61%	 -0.04
